"ORI","IncidentId","IncidentDate","TotalVictims","TotalOffenders","OffenderRaceId"
"AK0010100","14-0027743","2014-07-09",1,1,"W"
"AK0010100","14-0029108","2014-07-18",1,2,"W"
"AK0010100","14-0040118","2014-09-26",2,2,"B"
"AK0010100","14-0040797","2014-09-30",1,2,"W"
"AK0010100","14-45269","2014-10-04",2,1,"W"
"AL0010400","TEST4567","2014-04-04",1,3,"W"
"AL0040100","140419023","2014-04-19",0,0,"U"
"AL0040100","140422051","2014-04-22",1,2,"W"
"AL0040100","140506040","2014-05-06",1,1,"B"
"AL0040100","140928020","2014-09-28",1,1,"W"
"AL0610100","14016635","2014-09-29",1,0,"U"
"AL0610100","14022243","2014-12-29",1,1,"B"
"AR0040200","201400002539","2014-04-24",1,2,"U"
"AR0600000","2014015239","2014-07-05",1,2,"W"
"AR0660100","14000742000","2014-02-17",1,2,"W"
"AR0660100","14002232200","2014-05-15",4,4,"W"
"AR0660100","14003180900","2014-07-04",4,1,"W"
"AR0660100","14003895200","2014-08-09",1,1,"W"
"AR0720400","140527","2014-07-20",2,0,"U"
"AZ0039700","N1400083","2014-01-24",1,0,"U"
"AZ0039700","N1401008","2014-09-19",17,0,"U"
"AZ0039700","N1401181","2014-10-22",0,0,"U"
"AZ0070000","14021948","2014-09-21",1,1,"B"
"AZ0070000","14025033","2014-10-27",1,1,"B"
"AZ0070000","1432898","2014-03-24",1,1,"W"
"AZ0070100","1424447","2014-02-01",1,0,"U"
"AZ0070100","1429577","2014-06-10",1,0,"U"
"AZ0070500","1432898","2014-03-24",1,1,"W"
"AZ0070700","E14042261","2014-04-01",2,1,"W"
"AZ0071100","14000004803","2014-03-24",0,0,"U"
"AZ0071100","14000011007","2014-07-07",0,0,"U"
"AZ0071300","14156146","2014-12-17",1,0,"U"
"AZ0071300","1448262","2014-04-21",1,0,"U"
"AZ0071300","1468850","2014-06-06",0,0,"U"
"AZ0071300","1471446","2014-06-12",0,0,"U"
"AZ0071300","1486248","2014-07-17",1,0,"U"
"AZ0071300","1488057","2014-07-21",1,0,"U"
"AZ0071300","1493553","2014-08-04",1,0,"U"
"AZ0071500","20144430","2014-01-23",2,0,"U"
"AZ0071700","20140970543","2014-04-07",1,0,"U"
"AZ0071700","20141110399","2014-04-21",1,1,"W"
"AZ0071700","20141460446","2014-05-26",0,0,"U"
"AZ0071700","20142280015","2014-08-16",1,1,"W"
"AZ0071700","20143010213","2014-10-28",1,1,"I"
"AZ0071700","20143030260","2014-10-30",1,1,"W"
